"PESSI_schools","Address","BM1","Address_BM1","BM2","Address_BM2","BM3","Address_BM3","BM4","Address_BM4","BM5","Address_BM5"
"BRITISH INTERNATIONAL SCHOOL","MULTAN ROAD MAILSI","THE BRITISH INTERNATIONAL SCHOOL","CHOWK ASIM MAILSI ROAD TIBBA SULTAN PUR","THE OXFORD INTERNATIONAL SCHOOLS DOKOTA","P/O DOKOTA TEH MALSI","THE OXFORD INTERNATIONAL SCHOOL FOR GIRLS DOKOTA","P/O DOKOJA MALSI","EDUCATIONAL PUBLIC SCHOOL","WARD NO 6 TIBBA SULTAN PUR","THE NATIONAL EDUCATORS SCHOOL SYSTEM","CHAK NO 335/WB"
"ALLIED SCHOOL","MULTAN ROAD MAILSI","IQRA SCHOOL","BASTI KALIA SHAH","IQRA SCHOOL","AMIN PUR MAILSI DISTT VEHARI","IQRA SCHOOL","BASTI KALIA SHAH","IQRA SCHOOL","AMIN PUR MAILSI DISTT VEHARI","ALLIED SCHOOL PROJECT OF PUNJAB GROUP OF COLLEGES","GRAH MORE"
"THE EDUCTOR SCHOOL","GIRLS COLLEGE ROAD MAILSI","THE EDUCATOR SCHOOL MITROO","NEAR POLICE STATION MITROO","THE EDUCARE SCHOOL SYSTEM","GRAHA MORE ROAD MITROO","THE EDGE GRAMMER SCHOOL","AL RAHMAN COLONY KARAM PUR","PRO-GENERATOR SCHOOL","WARD NO 9 TIBBA SULTAN PUR","THE NATIONAL EDUCATORS SCHOOL SYSTEM","CHAK NO 335/WB"
"HAMZA MODEL SCHOOL","KEHROOR PACCA ROAD MAILSI","ISLAMIA MODEL SCHOOL","ADDA HARI MINOR MAILSI","HAMZA MODEL HIGH SCHOOL FOR BOYS","NEAR COLONY ROAD MAILSI","PILOT MODEL SCHOOL","P/O MITROO TEHSIL MAILSI","HAMZA MODEL HIGH SCHOOL FOR GIRLS","NEAR COLONY CHOWK MAILSI","TALHA MODEL SCHOOL MAILSI","BASTI SAKHI HASSAN MAILSI"
"MIAN CHANU PUBLIC SCHOOL","G.T ROAD","MIAN CHANNU PUBLIC MODEL SCHOOL","MOHSINWAL","MIAN CHANNU MISALI PUBLIC SCHOOL","SHAHEED ROAD","AMAN PUBLIC SCHOOL","CHAK NO. 100/15.L","QUEEN MERRY PUBLIC SCHOOL MIAN CHANNU","MUHAL REHMANIA STREET NO 6","SD PUBLIC SCHOOL","CHAK 100/1 RL"
"SANA PUBLIC SCHOOL","G.T ROAD","IQRA PUBLIC SCHOOL","ST NO 3 MOHALLA REHMANIA","SD PUBLIC SCHOOL","CHAK 100/1 RL","RAJ PUBLIC SCHOOL","MEHRABAD ROAD MIAN CHANNU","SAAD PUBLIC SCHOOL","CHAK NO. 98/15.L","AMAN PUBLIC SCHOOL","CHAK NO. 100/15.L"
"MILLAT PUBLIC SCHOOL","FAISAL TOWN","MILLAT PUBLIC MIDDLE SCHOOL","FAISAL TOWN MIAN CHANNU","SD PUBLIC SCHOOL","CHAK 100/1 RL","RAJ PUBLIC SCHOOL","MEHRABAD ROAD MIAN CHANNU","SAAD PUBLIC SCHOOL","CHAK NO. 98/15.L","AMAN PUBLIC SCHOOL","CHAK NO. 100/15.L"
"THE EDUCATOR SCHOOL","TAULAMBA","THE EDUCATORS","ITFAQ TWON STREET NO 1","THE EDUCATORS","TALUMBA ROAD CHOWK BY PASS","THE EDUCATORS","ITFAQ TWON STREET NO 1","THE EDUCATORS","TALUMBA ROAD CHOWK BY PASS","THE PUNJAB EDUCATOR ENGLISH MODAL SCHOOL 18/8-BR","CHAK NO 18/8 BR"
"AL HIDAYAT PUBLIC SCHOOL","JINNAH ROAD","SD PUBLIC SCHOOL","CHAK 100/1 RL","RAJ PUBLIC SCHOOL","MEHRABAD ROAD MIAN CHANNU","SAAD PUBLIC SCHOOL","CHAK NO. 98/15.L","AMAN PUBLIC SCHOOL","CHAK NO. 100/15.L","CITY PUBLIC SCHOOL","RAUL BAZAR MOHSINWAL"
"MIAN CHANU MISALI PUBLIC SCHOOL","ALLAMA IQBAL ROAD","MIAN CHANNU MISALI PUBLIC SCHOOL","SHAHEED ROAD","MIAN CHANNU PUBLIC MODEL SCHOOL","MOHSINWAL","QUEEN MERRY PUBLIC SCHOOL MIAN CHANNU","MUHAL REHMANIA STREET NO 6","NAZIR MISALI PUBLIC SCHOOL 84/15.L","CHAK NO  84/15.L","ALKHAKI PUBLIC SCHOOL LIAQAT ROAD MIAN CHANNU","LIAQAT ROAD MIAN CHANNU"
"THE READ SCHOOL","FAISAL TOWN","THE READ PUBLIC SCHOOL","FAISAL TOWN MIAN CHANNU","THE FUTURE SCHOLAR SCHOOL","ST NO 4 TOWN MIAN CHANNU","THE SMART SCHOOL","KH TOWN MIAN CHANNU","THE NATION SCHOOL","TULAMBA RD MOHSINWAL","THE OXFORD SCHOOL SYSTEM","NEAR FATAH SHOPPING CENTRE"
"MARY LAND SCHOOL","FAISAL TOWN","MERRY LAND INTERNATIONAL SCHOOL","EID GAH ROAD MIAN CHANNU","ST MARRY SCHOOL","CHAK 125/15L MIAN CHANU","THE SMART SCHOOL","KH TOWN MIAN CHANNU","THE FUTURE SCHOLAR SCHOOL","ST NO 4 TOWN MIAN CHANNU","MERRY LAND INTERNATIONAL SCHOOL SYSTEM MAIN CAMPUS","SHAHEED ROAD MIAN CHANNU"
"THE VISION SCHOOL SYSTEM","JINNAH ROAD","THE VISION SCHOOL SYSTEM","JINNAH TOWN ST 4","THE VISION SCHOOL TULAMBA","BILALA COLONY THANA ROAD TULAMBA","THE OXFORD SCHOOL SYSTEM","NEAR FATAH SHOPPING CENTRE","UNIQUE EDUCATION SCHOOL SYSTEM","NEAR BARBAR AZAM SHAH","AL HASSAN SCHOOL SYSTEM","ALLAMA IQBAL ROAD MIAN CHANNU"
"ALLIED SCHOOL","CIRCULAR ROAD","ALLIED SCHOOL 67/15.L","MIAN VEHARHI ROAD","ALLIED SCHOOL DPS ROAD MIAN CHANNU","BULDING #1 STREET #1 FAISAL TOWN","SD PUBLIC SCHOOL","CHAK 100/1 RL","THE FUTURE SCHOLAR SCHOOL","ST NO 4 TOWN MIAN CHANNU","ALL NOOR PUBLIC SCHOOL","CHAK 108/15.L"
"SHAHEEN PUBLIC SCHOOL","CIRCULAR ROAD","AMAN PUBLIC SCHOOL","CHAK NO. 100/15.L","SD PUBLIC SCHOOL","CHAK 100/1 RL","SHAUQ PUBLIC SCHOOL","Mohallah Rehmania Street no 8 MCH","SHAHEEN FORCE PUBLIC SCHOOL TULAMBA","MEER GREEN MARKIT TULAMBA","RAJ PUBLIC SCHOOL","MEHRABAD ROAD MIAN CHANNU"
"MARRY LAND INTERNATIONAL SCHOOL","CIRCULAR ROAD","MERRY LAND INTERNATIONAL SCHOOL","EID GAH ROAD MIAN CHANNU","MERRY LAND INTERNATIONAL SCHOOL SYSTEM MAIN CAMPUS","SHAHEED ROAD MIAN CHANNU","MERRY LAND INTERNATIONAL SCHOOL SYSTEM JINNAH CAMPUS","DARBAR ROAD MIAN CHUNNU","DREAM INTERNATIONAL SCHOOL NEAR BUS STAND MCN.","GT ROAD NEAR ISLAMIA COLLEGE","BRITISH INTERNATIONAL SCHOOL SYSTEM BOYS","WYNE ROAD NEAR KAMMULA CNG MIAN CHANNU"
"PLAYWAY HIGHSCHOOL","SHER SHAH ROAD MULTAN","EDIFY HIGH SCHOOL","FARSUKA TOWN MULTAN","BRIGHT WAY GIRLS HIGH SCHOOL","OPPOSITE GRID STATION VEHARI ROAD","HAJVAIRY HIGH SCHOOL","CHUNGI NO-8, NAWAL PUR ROAD MULTAN","AFAQ HIGH SCHOOL","OPPOSITE SHELL PETROLIUM VEHARI ROAD MULTAN","AMAN HIGH SCHOOL","BASTI KOT RUB NAWAT"
"CONCEPT SCHOOL","GARDEN TOWN MULTAN","CONCEPT SCHOOL","MAIN MODEL TOWN ROAD","CONCEPT SCHOOLS","146 CB GARDEN TOWN MULTAN","INTERNATIONAL CONCEPT SCHOOL","NAQASH BAND COLONY","MY SCHOOL","MASOOM SHAH ROAD","NCHD SCHOOL","BASTI RASOOL PUR"
"SCIENCE SCHOOL","GARDEN TOWN MULTAN","SCIENCE SCHOOL","NAKA CHAWK KHAN VILLAGE ROAD","SCIENCE SCHOOL","SCIENCE SCHOOL MULTAN","SCIENCE SCHOOL","NAKA CHAWK KHAN VILLAGE ROAD","SCIENCE SCHOOL","SCIENCE SCHOOL MULTAN","HN SCIENCE SCHOOL","LODHI MOR NAWAB PUR ROAD"
"FALCON HOUSE SCHOOL","GARDEN TOWN MULTAN","FALCON HOUSE GRAMMAR SCHOOL","88 L SHAH RUKNE ALAM","LIGHT HOUSE SCHOOL SYSTEM","LIGHT HOUSE SCHOOL SYSTEM NAWAN BHATA","BEACONHOUSE SCHOOL SYSTEM","6 KM BOSAN ROAD","BEACONHOUSE SCHOOL SYSTEM","6 KM OFF BOSAN ROAD","BEACONHOUSE SCHOOL SYSTEM","6 KM BOSAN ROAD"
"ALLIED SCHOOL SYSTEM","GARDEN TOWN MULTAN","AHMED SCHOOL SYSTEM","MALAH RAZA ABAD","ALLIED SCHOOL","KOHTHAYWALA","EFA SCHOOL SYSTEM","V-BLOCK NEW MULTAN","TAHA SCHOOL SYSTEM","OLD SHUJA ABAD LAKRI MANDI WILAYAT ABAD","IQRA SCHOOL SYSTEM","28 S New Multan"
"COUNTRY SCHOOL SYSTEM","GARDEN TOWN MULTAN","COUNTRY SCHOOL SYSTEM","SHAHZAD TOWN  WABRI ROAD","EFA SCHOOL SYSTEM","V-BLOCK NEW MULTAN","ICON SCHOOL SYSTEM","KHUSHALL COLONY KHANEWAL ROAD","TAHA SCHOOL SYSTEM","OLD SHUJA ABAD LAKRI MANDI WILAYAT ABAD","IQRA SCHOOL SYSTEM","28 S New Multan"
"BECON HOUSE SCHOOL","SHER SHAH ROAD MULTAN","FALCON HOUSE GRAMMAR SCHOOL","88 L SHAH RUKNE ALAM","BEACONHOUSE SCHOOL SYSTEM","6 KM BOSAN ROAD","BEACONHOUSE SCHOOL SYSTEM","6 KM OFF BOSAN ROAD","BEACONHOUSE SCHOOL SYSTEM","6 KM BOSAN ROAD","BEACONHOUSE SCHOOL SYSTEM","6 KM OFF BOSAN ROAD"
"BALOOM FIELD HALL SCHOOL","SHER SHAH ROAD MULTAN","BLOOM FIELD HALL SCHOOL","E BLOCK","BLOOMFIELD HALL SCHOOL","MODEL T6OWN MULTAN 240/B","BLOOM FIELD HALL PREP SCHOOL","463 C BLOCK","BROOK FIELD HALL SCHOOL","NAKA CHOWK GULGUSHAT","BLOOMFIELD HALL SCHOOL TODDLERS","ABDALI ROAD MULATAN"
"THE EDUCATORS","GARDEN TOWN MULTAN","THE EDUCATORS","QASIM PUR COLONY MULTAN","THE EDUCATORS","SHALIMAR COLONY NEAR BOSAN ROAD","THE EDUCATORS","PO RIAZ ABAD","THE EDUCATORS","18-H SRA COLONY MULTAN","THE EDUCATORS","QASIM PUR COLONY MULTAN"
"NAUKHAIZ PUBLIC SCHOOL","NEW MULTAN","AL-FAIZ PUBLIC SCHOOL","P/O MOMIN ABAD VIA BASTI MALOOK","NAWAZ PUBLIC SCHOOL","Usman Abad Chowk Jhakar Pur","MJ PUBLIC SCHOOL","BASTI JUMMA WALA","NOUKHEZ PUBLIC SCHOOL","MAIN STREET SHALIMAR COLONY MULTAN","AL-HAFIZ PUBLIC SCHOOL","ZAKRIYA TOWN"
"SULTAN MODEL SCHOOL","TB HOSPITAL ROAD, MULTAN","KIRAN MODEL SCHOOL","STREET BANSO WALI HAZOORI BAGH ROAD MULTAN","PAKISTAN MODEL SCHOOL","Ward No. 9 St. No. 3 Pakistan Model School","AL -SULTAN MODEL PUBLIC SCHOOL","BASTI SADIQUE AHAD","SULTAN MODEL PUBLIC HIGH SCHOOL","ITTIFAQ PURA TB ROAD","LEO MODEL SCHOOL","Town Bilal Chowk Shujaabad Road"
"JUNIOR HIGH SCHOOL BOYS","3 SARWAR ROAD, MULTAN","USMAN JUNIOR HIGH SCHOOL","GULSHAN -E-SHUJAAT ISMAILABAD","STAR HIGH SCHOOL","I/S HUSSAIN AGALS MULTAN","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS","NISHAT BOYS HIGH SCHOOL","NEW SHAH SHAMS B-BLOCK","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS"
"JUNIOR CAMBRIDGE MODEL SCHOOL","NEAR CHADAR WALI SARKAR MULTAN","KIDS CAMBRIDGE MODEL SCHOOL","BASTI RAM WALI","STAR JUNIOR MODEL SCHOOL","ALONG DEHLI GATE","ASIM JUNIOR MODEL SCHOOL","ASIM JUNIOR MODEL SCHOOL","CANDLE JUNIOR MODEL SCHOOL","RAILWAY ROAD MULTAN","AZAZ JUNIOR MODEL SCHOOL","984- NAQSHBAND"
"ISLAMIYA SADIQ SCHOOL","AWANPURA HAFIZ JAMAL ROAD, MULTAN","ISLAMIA SADIQ PUBLIC SCHOOL","AWAN PURA HAFIZ JAMAL ROAD MULTAN","NEW ISLAMIA SADIQ PUBLIC SCHOOL","ASHRAFABAD COLONY MULTAN","ISLAMIA SADIQ PUBLIC HIGH SCHOOL","HAFIZ JAMAL RD AWAN PURA","AL SADIQ PUBLIC SCHOOL","MAIN RD SHARIF PURA","ISLAMIC SCHOOL SYSTEM","Mohsin Town St. No. 1"
"NEW STAR HIGH SCHOOL","HUSSAINAGAHI MULTAN","STAR HIGH SCHOOL","I/S HUSSAIN AGALS MULTAN","JOHAR HIGH SCHOOL","PULL WASIL SURAJ MIANI ROAD","AFAQ HIGH SCHOOL","OPPOSITE SHELL PETROLIUM VEHARI ROAD MULTAN","AMAN HIGH SCHOOL","BASTI KOT RUB NAWAT","AFAQ HIGH SCHOOL","OPPOSITE SHELL PETROLIUM VEHARI ROAD MULTAN"
"MUSTAFA SHAH GIRLS SCHOOL","DOLAT GATE MULTAN","S.EN.JS GIRLS SCHOOL","CHAH JAMMO WALA TIMBER MARKET","AL-MUSTAFA SCHOOL SYSTEM","AL-WAHID STREET SABZAZAR COLONY MULTAN","AL MUSTAFA SCIENCE SCHOOL","NEAR BILAL CHOWK","NISHAT GIRLS HIGH SCHOOL","POLICE LINE ROAD MULTAN","AL-MUSTAFA MODEL SCHOOL","MOHALLA JAFRIA SURAJ MIANI MULTAN"
"CANDLE GIRLS SCHOOL","RAILWAY ROAD, MULTAN","CANDLE GIRLS HIGH SCHOOL","RAIWIND ROAD MULTAN","S.EN.JS GIRLS SCHOOL","CHAH JAMMO WALA TIMBER MARKET","SHAMI GIRLS MIDDLE SCHOOL","CHUNGI NO 22 H NO 2636/B","AL-HAQ GIRLS MIDDLE SCHOOL","GRASS MANDI","BRIGHT CANDLE SCHOOL","NEW BASTI SAMO RANA"
"AZIZ MODEL SCHOOL","SHARIFPURA MULTAN","AZIZ MODEL SCHOOL","MAIN ROAD SHARIK PURA","AZIZ PUBLIC MODEL SCHOOL","PO BUDHLA SANT MULTAN","LEO MODEL SCHOOL","Town Bilal Chowk Shujaabad Road","AZIZ E MILLAT MODEL SCHOOL","18 KASSI BODHLA ROAD","AQSA MODEL SCHOOL","411- I BLOCK SHAH RUKEN-E-ALAM"
"STAR PUBLIC SCHOOL","DEHLI GATE MULTAN","STAR PUBLIC SCHOOL","AURANGZAIB ROAD DEHLI GATE","FIVE STAR PUBLIC SCHOOL","MA JINNAH CAMPUS FIDA SHAHEED ROAD","BRIGHT STAR PUBLIC SCHOOL","18 KASSI BODHLA ROAD","SCHOLAR PUBLIC SCHOOL","STREET NO 1 LIAQUAT ABAD","SUNDAR PUBLIC SCHOOL","NEAR 10/A FIRST TYPE RASHIDA ABAD MULTAN"
"NATIONAL GRAMMER SCHOOL","SHAMASABAD MULTAN","NATIONAL GRAMMAR SCHOOL","USMANABAD COLONY MULTAN","IQBAL GRAMMER SCHOOL","AHMED ABAD MULTAN ST -14","ALI GRAMMER SCHOOL","AHMED PURA MULTAN","UNION GRAMMER SCHOOL","BASTI TARIQ ABAD","EVE GRAMMER SCHOOL","SHAREEF PURA"
"ROOTS PUBLIC SCHOOL","SHAMASABAD MULTAN","ROOTS PUBLIC SCHOOL","355 SHAMSABAD COLONY MULTAN","KIDS PUBLIC SCHOOL","MAIN STREET JAN MUHAMMAD COLONY","NEES PUBLIC SCHOOL","CHAH BORTY WALA BASTI TALAB","KIDS PUBLIC SCHOOL","MAIN STREET JAN MUHAMMAD COLONY","NEES PUBLIC SCHOOL","CHAH BORTY WALA BASTI TALAB"
"BRITISH HOME SCHOOL","BOHARGATE MULTAN","BRITISH HOME SCHOOL SYSTEM","ALLANG LOHARI GATE","BRITISH HOME SCHOOL SYSTEM","MASOOM SHAH ROAD","BRITISH HOME SCHOOL SYSTEM","JALIL ABAD MULTAN","BRITISH HOME SCHOOL SYSTEM","ALLANG LOHARI GATE","BRITISH HOME SCHOOL SYSTEM","MASOOM SHAH ROAD"
"ALI AZIZ SCHOLAR SCHOOL","HASSAN PERVANA COLONY MULTAN","LITTLE SCHOLAR SCHOOL","BILAL NAGAR CHUNGI NO 14","MULTAN SCHOLAR SCHOOL","SHAHEEN ABAD CH NO 11","BRITISH SCHOLAR SCHOOL","HASSAN ABAD GATE NO 1  KHANEWAL ROAD","SCHOLAR PUBLIC SCHOOL","STREET NO 1 LIAQUAT ABAD","BRITISH SCHOLAR SCHOOL MULTAN","ZIKRIA TOWN PHASE ONE"
"NEW HAVEN PUBLIC SCHOOL","GULISTAN CHOWK MULTAN","NEW HAVEN PUBLIC SCHOOL","10 102/S New Multan","NEW PUBLIC SCHOOL","BASTI MAHMOOD KOOF","SHAHEEN PUBLIC SCHOOL","P/O RIAZ ABAD LOOTHER","SHAHEEN PUBLIC SCHOOL","BINDA SANDLA","SHAHEEN PUBLIC SCHOOL","LOHA MARKET MULTAN"
"SHAHWAR MODEL BOY HIGH SCHOOL","RAILWAY ROAD, MULTAN","SHAHWAR MODEL BOYS HIGH SCHOOL","3605/E RAILWAY ROAD MULTAN","SHAHWAR MODEL GIRLS HIGH SCHOOL","3605/8 JALILABAD COLONY MULTAN","IQBAL MODEL BOYS HIGH SCHOOL","P.O BUDHLA SANT MULTAN","SUN MODEL HIGH SCHOOL","SURAJ MIANI MULTAN","CITY MODEL HIGH SCHOOL","ROOMIA COLONY CITY MALL G"
"OXFORD PUBLIC SCHOOL","MASOOM SHAH ROAD, MULTAN","THE OXFORD PUBLIC SCHOOL","PAKKAY WALA BOSAN ROAD","OXFORD PUBLIC SCHOOL MULTAN","52-2 IQBAL CHONK","NEW OXFORD PUBLIC  SCHOOL","QASIM PUR COLONY MULTAN","LARD PUBLIC SCHOOL","MOHALLA SOTRIWAT HASSAN PARWANA","ASAD PUBLIC SCHOOL","MULTAN WALA MULTAN"
"PAK TURK INTERNATIONAL SCHOOL","AKBAR CHOWK, MULTAN","PAK TURK INTERNATIONAL SCHOOL & COLLEGES","NASHAMEN COLONY NEAR ATTOK PUMP","PAK TURK INTERNATIONAL SCHOOL & COLLEGES","BYPASS CHOWK MULTAN","PAK TURK INTERNATIONAL SCHOOL & COLLEGES","NASHAMEN COLONY NEAR ATTOK PUMP","PAK TURK INTERNATIONAL SCHOOL & COLLEGES","BYPASS CHOWK MULTAN","PAK TURK INTERNATIONAL SCHOOL AND COLLEGE","ALI CHOWK"
"RASHID MINHAS SCHOOL","EID GAH ROAD, MULTAN","RASHID MINHAS SECONDARY SCHOOL","BOHAR ROAD TATAY PUR","RASHID MINHAS SCHOOL (JUNIOR CAMPUS)","SHAMS ABAD C BLOCK","RASHID MINHAS SECONDARY SCHOOL( ALI BRANCH)","MAIN EID GAH ROAD","RASHID MINHAS SECONDARY  SCHOOL AL- BASIR CAMPUS","SHAMSABAD IQBAL CHOWK","RASHID PUBLIC SCHOOL","7/T PO SAME"
"LAURATES HIGH SCHOOL","SHAMASABAD MULTAN","LAUREATE HIGH SCHOOL","JAMALPURA COLONY MULTAN","LAUREATE HIGH SCHOOL","SHAMS ABAD COLONY","LAUREATE HIGH SCHOOL","H.22 U-BLOCK NEW MULTAN","LAUREATE HIGH SCHOOL","27 ZAKRIYA TOWN BASAN  ROAD","LAUREATE HIGH SCHOOL","JAMALPURA COLONY MULTAN"
"BRITISH INTERNATIONAL SCHOOL","PEERANGHAIB ROAD, MULTAN","BRITISH INTERNATIONAL SCHOOL","H # 471 C SHAH RUKNE ALAM COLONY","BRITISH INTERNATIONAL SCHÒOL","H # 119 L SHAH RUKNE ALAM","BRITISH INTERNATIONAL SCHOOL SYSTEM","RASHIDA DUR MUHAMMAD C/O M YOUSAF","BRITISH INTERNATIONAL SCHOOL SYSTEM","39 SABZAZAR COLONY JINNAH STREET","BRITISH INTERNATIONAL SCHOOL SYSTEM","945-B MUMTAZ ABAD"
"THE EDUCATORS SCHOOL ( SUBHAN CAMPUS )","KHANEWAL ROAD, MULTAN","AMAN EDUCATORS SCHOOL","BASTI RANGEEL PUR","PRIME EDUCATORS SCHOOL SYSTEM","WARAD NO.11,BASTI KHUDADAD","THE EDUCATORS","QASIM PUR COLONY MULTAN","THE EDUCATORS","SHALIMAR COLONY NEAR BOSAN ROAD","THE EDUCATORS","PO RIAZ ABAD"
"BECON HOUSE SCHOOL","BOSAN ROAD, MULTAN","FALCON HOUSE GRAMMAR SCHOOL","88 L SHAH RUKNE ALAM","BEACONHOUSE SCHOOL SYSTEM","6 KM BOSAN ROAD","BEACONHOUSE SCHOOL SYSTEM","6 KM OFF BOSAN ROAD","BEACONHOUSE SCHOOL SYSTEM","6 KM BOSAN ROAD","BEACONHOUSE SCHOOL SYSTEM","6 KM OFF BOSAN ROAD"
"NISHAT BOYS JUNIORS SCHOOL","MDA RAOD, MULTAN","NISHAT BOYS JUNIOR SCHOOL","PIR KHURSHID COLONY MULTAN","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS","NISHAT BOYS HIGH SCHOOL","NEW SHAH SHAMS B-BLOCK","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS","NISHAT BOYS HIGH SCHOOL","NEW SHAH SHAMS B-BLOCK"
"NISHAT BOYS SCHOOL","BOSAN ROAD, MULTAN","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS","NISHAT BOYS HIGH SCHOOL","NEW SHAH SHAMS B-BLOCK","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS","NISHAT BOYS HIGH SCHOOL","NEW SHAH SHAMS B-BLOCK","NISHAT BOYS JUNIOR SCHOOL","PIR KHURSHID COLONY MULTAN"
"NISHAT GRIL SCHOOL","LODHI COLONY MULTAN","NISHAT HIGH SCHOOL","498-501 H BLOCK SRA COLONY","NISHAT GIRLS HIGH SCHOOL","POLICE LINE ROAD MULTAN","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS","NISHAT BOYS HIGH SCHOOL","NEW SHAH SHAMS B-BLOCK","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS"
"NISHAT BOYS SCHOOL","PEER KHURSHEED COLONY MULTAN","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS","NISHAT BOYS HIGH SCHOOL","NEW SHAH SHAMS B-BLOCK","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS","NISHAT BOYS HIGH SCHOOL","NEW SHAH SHAMS B-BLOCK","NISHAT BOYS JUNIOR SCHOOL","PIR KHURSHID COLONY MULTAN"
"NISHAT BOYS SCHOOL","LODHI COLONY MULTAN","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS","NISHAT BOYS HIGH SCHOOL","NEW SHAH SHAMS B-BLOCK","NISHAT BOYS HIGH SCHOOL","FIAZ CHOWK ASKARI BY PASS","NISHAT BOYS HIGH SCHOOL","NEW SHAH SHAMS B-BLOCK","NISHAT BOYS JUNIOR SCHOOL","PIR KHURSHID COLONY MULTAN"
"ZENABIA PUBLIC SCHOOL","SHAMASABD MULTAN","ZENABIA PUBLIC SCHOOL","348- SHAMSABAD COLONY MULTAN","ANA PUBLIC SCHOOL","GULSHAN -E-SHUJAAT ISMAILABAD","RAZIA PUBLIC SCHOOL","ST NO 13 USMAN ABAD COLONY","HINA PUBLIC SCHOOL","WRITERS COLONY MASOOM SHAH ROAD","AWISIA PUBLIC SCHOOL","ST # 1 H # 2486/8 M AWAIS ABAD"
"PAK ZAKRIYA MODEL SCHOOL D-NOTIFIED","MDA RAOD, MULTAN","ZAKRIYA MODEL PUBLIC SCHOOL","HASSAN ABAD GATE NO 1 ST 3(A) MULTAN","PAK ASKRIA MODEL SCHOOLS","ALLAH SHAFI CHOWK M.D.A ROAD  MULTAN","AQSA MODEL SCHOOL","411- I BLOCK SHAH RUKEN-E-ALAM","IQRA MODEL SCHOOL","AZIZ COLONY SHARIF PURA MULTAN","AQSA MODEL SCHOOL","411- I BLOCK SHAH RUKEN-E-ALAM"
"BLOOM FIELD HALL SCHOOL, OFFICER COLONY BRANCH","OFFICER COLONY MULTAN","BLOOM FIELD HALL SCHOOL","E BLOCK","BLOOMFIELD HALL SCHOOL","MODEL T6OWN MULTAN 240/B","BLOOM FIELD HALL PREP SCHOOL","463 C BLOCK","BLOOMFIELD HALL SCHOOL JUNIORS BRANCH","ABDALI ROAD MULATAN","BLOOM FIELD HALL GIRLS BRANCH","3 E OFFICERS COLONY"
"BALOOM FIELD GIRLS SCHOOL.","OFFICER COLONY MULTAN","BLOOM FIELD HALL SCHOOL","E BLOCK","GROOM FIELD HIGH SCHOOL","QASIM PUR COLONY MULTAN","BLOOM FIELD HALL PREP SCHOOL","463 C BLOCK","BLOOM FIELD HALL GIRLS BRANCH","3 E OFFICERS COLONY","S.EN.JS GIRLS SCHOOL","CHAH JAMMO WALA TIMBER MARKET"
"BALOOM FIELD PREP SCHOOL.","BOSAN ROAD, MULTAN","BLOOM FIELD HALL PREP SCHOOL","463 C BLOCK","BLOOM FIELD HALL SCHOOL","E BLOCK","GROOM FIELD HIGH SCHOOL","QASIM PUR COLONY MULTAN","BLOOMFIELD HALL JUNIOR &  PREP SCHOOL","21 OFFICERS COLONY","BROOK FIELD SCHOOL","ALI BHAI COLONY"
"BALOOM FIELD MODEL TOWN SCHOOL.","MOEDEL TOWN BOSAN ROAD, MULTAN","BLOOM FIELD HALL SCHOOL","E BLOCK","BLOOM FIELD HALL PREP SCHOOL","463 C BLOCK","GROOM FIELD HIGH SCHOOL","QASIM PUR COLONY MULTAN","KAMRAN MODEL SCHOOL MODEL TOWN KHANEWAL ROAD MULAN","MODEL TOWN KHANEWAL ROAD MULTAN","MARI GOLD MODEL SCHOOL","BASTI GULABI"
"ZAKRIYA PUBLIC SCHOOL","BOSAN ROAD, MULTAN","NEW ZAKRIYA PUBLIC SCHOOL","BASTI RANGEEL PUR","ZAKARIYA PUBLIC SCHOOL","ZAKARIYA PUBLIC SCHOOL BYPASS BASAN ROAD","ZAKRIYA MODEL PUBLIC SCHOOL","HASSAN ABAD GATE NO 1 ST 3(A) MULTAN","ANA PUBLIC SCHOOL","GULSHAN -E-SHUJAAT ISMAILABAD","LASANI ZAKARIYA PUBLIC SCHOOL","ST NO 10 Z BLOCK NEW MULTAN"
"SPRING HALL SCHOOL","BOSAN ROAD, MULTAN","SPRING SCHOOL","Sharif Ara Road Near Aziz colony Multan","SPRING SCHOOL SYSTEM","NEAR ESAN SHAH DARBAR","BLOOMFIELD HALL SCHOOL","MODEL T6OWN MULTAN 240/B","BLOOM FIELD HALL SCHOOL","E BLOCK","BROOK FIELD HALL SCHOOL","NAKA CHOWK GULGUSHAT"
