Sr #,Registration #,Unit Name,Date of Registration,Address of Establishment,Tehsil,District,Directorate,Contact #,Date of Start of Business,Name of Employer,Nature of Business,No. of Permanent Employees,No. of Temporary Employees,No. of Contractual Employees ,Total No. of Employees,Amount of wages paid to employees (Dec 2017),Amount of contribution paid (Dec 2017),F4 No. ,Amount of C4,F5 No.,F5 Amount,Where C4 Amount is Excess,Where C4 Amount is Less,Amount Increase Receivable ,Increase Amount Received,Accum. Balance of arrears,Functional/ Non- Functional ,Cases u/s 57,Cases u/s 59,Cases U/S 66,Cases U/S 81,Civil / High Court
43299,83-3000,M/s. Taj Hotel ,20.11.2002,Bohargate Multan,Multan,Multan,Multan,-,20.11.2002,-,Recreation Services,2,-,-,2,30000,1800,18439,-,-,-,-,-,-,-,50010,Functional ,-,-,-,-,-
43300,82-3001,M/s. Aziz Model School ,20.11.2002,Sharifpura Multan,Multan,Multan,Multan,-,20.11.2002,-,Community & Business,5,-,-,5,-,-,-,4500,-,-,-,-,-,-,372518,Functional ,-,-,-,-,-
43301,82-3003,M/s. Star Public School ,20.11.2002,Dehli Gate Multan,Multan,Multan,Multan,-,20.11.2002,-,Community & Business,5,-,-,5,-,-,-,4500,-,-,-,-,-,-,332475,Functional ,-,-,-,-,-
43302,23-3005,M/s. Zikriya Textile Mills ,20.11.2002,"Iqbal Nagar TB Hospital Road, Multan",Multan,Multan,Multan,-,20.11.2002,-,Manufacture of Textile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51408,Non-Functional,-,-,-,-,-
43303,90-3008,M/s. Akhtar Ice Cream ,20.11.2002,Nawan Sheher Multan,Multan,Multan,Multan,-,20.11.2002,-,Food Manufacture ,2,-,-,2,-,-,-,1800,-,-,-,-,-,-,26047,Functional ,-,-,-,-,-
43304,61-3051,M/s. Perfect Distributors ,20.11.2002,Tareen Road Multan,Multan,Multan,Multan,-,20.11.2002,-,Whole Sale & Retail Trade,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35224,Non-Functional,-,-,-,-,-
43305,20-3053,M/s. Hassan Flour Mills ,20.11.2002,"TB Hospital Road, Multan",Multan,Multan,Multan,-,20.11.2002,-,Food Manufacture ,3,-,-,3,45000,2700,16978,-,-,-,-,-,-,-,175523,Functional ,-,-,-,-,-
43306,90-3063,M/s. Shama Ice Factory ,20.11.2002,Kari Jamandan Multan,Multan,Multan,Multan,-,20.11.2002,-,Storage and Warehousing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5693,Non-Functional,-,-,-,-,-
43307,90-3064,M/s. Rim Jhim Ice Factory ,20.11.2002,Pull Shawala Multan,Multan,Multan,Multan,-,20.11.2002,-,Storage and Warehousing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24216,Non-Functional,-,-,-,-,-
43308,20-3092,M/s. Prince Food ,20.11.2002,"Masoom Shah Road, Multan",Multan,Multan,Multan,3007311932,20.11.2002,Hashim,Food Manufacture ,2,-,-,2,-,-,-,1800,-,-,-,-,-,-,68426,Functional ,-,-,-,-,-
43309,13-3098,M/s. Amir Mehmood Filling Station ,20.11.2002,Hassan Pervana Colony Multan,Multan,Multan,Multan,-,20.11.2002,-,Crude Petroleum & Gas,10,-,-,10,151667,9100,18196,-,-,-,-,-,-,-,4242,Functional ,-,-,-,-,-
43310,83-3110,M/s. Chatkhara Restaurant ,20.11.2002,Ghanta Ghar Multan,Multan,Multan,Multan,-,20.11.2002,-,Recreation Services,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24912,Non-Functional,-,-,-,-,-
43311,20-3122,M/s. Mujahid Misri Patasy House ,20.11.2002,"Masoom Shah Road, Multan",Multan,Multan,Multan,-,20.11.2002,-,Food Manufacture ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48304,Non-Functional,-,-,-,-,-
43312,20-3124,M/s. Javeed Flour Mills,20.11.2002,"Masoom Shah Road, Multan",Multan,Multan,Multan,3006327558,20.11.2002,Jave Ahmed,Food Manufacture ,3,-,-,3,45000,2700,18627,-,-,-,-,-,-,-,18428,Functional ,-,-,-,-,-
43313,61-3139,M/s. Pak Wattan Secuerity ,20.11.2002,"LMQ Road, Multan",Multan,Multan,Multan,-,20.11.2002,-,Miscellaneos Industries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Non-Functional,-,-,-,-,-
43314,35-3171,M/s. Ashraf Metal Works ,05.02.2003,Near Khayyam Cinma Multan,Multan,Multan,Multan,-,05.02.2003,-,Manufacture of Metal Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45069,Non-Functional,-,-,-,-,-
43315,29-3173,M/s. Sethi Brothers,05.02.2003,"Tughlaq Road, Multan",Multan,Multan,Multan,-,05.02.2003,Shahzad,Whole Sale & Retail Trade,1,-,-,1,-,-,-,900,-,-,-,-,-,-,900,Functional ,-,-,-,-,-
43316,13-3179,M/s. M.M Oil Traders ,07.01.2003,Hussainagahi Multan,Multan,Multan,Multan,-,07.01.2003,-,Crude Petroleum & Gas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,Non-Functional,-,-,-,-,-
43317,29-3172,M/s. Muhammad Shaffique Tendery works ,07.01.2003,"Water Works Road, Multan",Multan,Multan,Multan,-,07.01.2003,-,Leather Manufacture,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62538,Non-Functional,-,-,-,-,-
43318,28-3202,M/s. Karni Kitab Ghar ,07.01.2003,Nawan Sheher Multan,Multan,Multan,Multan,3008366661,07.01.2003,Kashif Altaf,Whole Sale & Retail Trade,5,-,-,5,70000,4200,18624,-,-,-,-,-,-,-,12393,Functional ,-,-,-,-,-
43319,26-3204,M/s. Zahoor Furniture House ,07.01.2003,Nawan Sheher Multan,Multan,Multan,Multan,-,07.01.2003,-,Furniture & Fixture,2,-,-,2,-,-,-,1800,-,-,-,-,-,-,163204,Functional ,-,-,-,-,-
43320,26-3205,M/s. Hafiz Karim Bux Work Shop ,07.01.2003,Nawan Sheher Multan,Multan,Multan,Multan,-,07.01.2003,-,Furniture & Fixture,2,-,-,2,-,-,-,1800,-,-,-,-,-,-,173180,Functional ,-,-,-,-,-
43321,26-3206,M/s. New Farooq Furniture ,07.01.2003,Nawan Sheher Multan,Multan,Multan,Multan,-,07.01.2003,-,Furniture & Fixture,2,-,-,2,-,-,-,1800,-,-,-,-,-,-,175060,Functional ,-,-,-,-,-
43322,26-3207,M/s. Ashraf Poshish Makers,07.01.2003,Nawan Sheher Multan,Multan,Multan,Multan,-,07.01.2003,-,Furniture & Fixture,2,-,-,2,-,-,-,1800,-,-,-,-,-,-,182262,Functional ,-,-,-,-,-
43323,26-3209,M/s. Maqbool Furniture House ,07.01.2003,Nawan Sheher Multan,Multan,Multan,Multan,-,07.01.2003,-,Furniture & Fixture,2,-,-,2,-,-,-,1800,-,-,-,-,-,-,170328,Functional ,-,-,-,-,-
43324,26-3210,M/s. Niaz Zafar Furniture ,07.01.2003,Nawan Sheher Multan,Multan,Multan,Multan,-,07.01.2003,-,Furniture & Fixture,2,-,-,2,-,-,-,1800,-,-,-,-,-,-,183284,Functional ,-,-,-,-,-
43325,40-3251,M/s. Ejaz Construction Company ,07.01.2003,Bohargate Multan,Multan,Multan,Multan,-,07.01.2003,-,Construction ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18610,Non-Functional,-,-,-,-,-
43326,61-3271,M/s. Gallant Security ,07.01.2003,"Water Works Road, Multan",Multan,Multan,Multan,-,07.01.2003,-,Miscellaneos Industries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10420,Non-Functional,-,-,-,-,-
43327,26-3272,M/s. Amir Brothers Furniture ,07.01.2003,Chowk Fowara Multan,Multan,Multan,Multan,-,07.01.2003,-,Furniture & Fixture,3,-,-,3,-,-,-,2700,-,-,-,-,-,-,202847,Functional ,-,-,-,-,-
43328,23-3274,M/s. Ahmed Trading/ Saba Industries ,07.01.2003,"TB Hospital Road, Multan",Multan,Multan,Multan,-,07.01.2003,Habibullah,Manufacture of Textile,5,-,-,5,77000,4620,18605,-,-,-,-,-,-,-,504,Functional ,-,-,-,-,-
43329,29-2534,M/s. Khalid Leather Works ,07.01.2003,"Eid Gah Road, Multan",Multan,Multan,Multan,3009636400,07.01.2003,Akmal,Manufacture of Leather,5,-,-,5,75000,4200,18552,-,37597,3720,-,-,80,3280,121830,Functional ,-,-,-,-,-
43330,29-2660,M/s. Saleem Shoes ,19.05.1999,Tibbi Sher Khan Multan,Multan,Multan,Multan,-,19.05.1999,-,Manufacture of Leather,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,Non-Functional,-,-,-,-,-
43331,29-2738,M/s. Munir Ahmed Shoes ,02.10.1999,Kotla Tolay Khan Multan,Multan,Multan,Multan,-,02.10.1999,-,Manufacture of Leather,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14550,Non-Functional,-,-,-,-,-
43332,14-2767,M/s. Jahangir RCC,02.10.1999,"Eid Gah Road, Multan",Multan,Multan,Multan,-,02.10.1999,-,Construction ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6120,Non-Functional,-,-,-,-,-
43333,20-3125,M/s. Zafar Flour Mills ,29.01.2003,Chunghee No.8 Multan,Multan,Multan,Multan,-,29.01.2003,-,Food Manufacture ,3,-,-,3,-,-,-,2700,-,-,-,-,-,-,99184,Functional ,-,-,-,-,-
43334,83-55,M/s. Sheza Inn,11.01.1967,"Katchery Road, Multan",Multan,Multan,Multan,3216325152,11.01.1967,Zahid Ghori,Recreation Services,20,-,-,20,303500,18210,17338,-,-,-,-,-,-,-,29507,Functional ,-,-,-,-,-
43335,82-2769,M/s. National Grammer School ,02.10.1999,Shamasabad Multan,Multan,Multan,Multan,-,02.10.1999,-,Community & Business,-,-,-,-,-,-,-,-,-,-,-,-,-,-,216948,Non-Functional,-,-,-,-,-
43336,83-3317,M/s. Indulge Restaurant ,01.07.2003,Abdali Road Multan,Multan,Multan,Multan,3237778092,01.07.2003,Ch. Adil,Recreation Services,6,-,-,6,78167,4690,18363,-,-,-,-,-,-,-,45491,Functional ,-,-,-,-,-
43337,82-2768,M/s. Roots Public School ,02.10.1999,Shamasabad Multan,Multan,Multan,Multan,-,02.10.1999,-,Community & Business,4,-,-,4,60000,3600,18359,-,-,-,-,-,-,-,67008,Functional ,-,-,-,-,-
43338,82-3373,M/s. Sial Medical Center ,01.07.2003,Chowk Katchery Multan,Multan,Multan,Multan,-,01.07.2003,Abdul Rasheed,Community & Business,17,-,-,17,276333,16580,18521,-,-,-,-,-,-,-,666718,Functional ,-,-,-,-,-
43339,13-3487,M/s. Bahawal Haq Petroleum Service ,01.07.2003,Old Khanewal Adda Multan,Multan,Multan,Multan,-,01.07.2003,-,Crude Petroleum & Gas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34222,Non-Functional,-,-,-,-,-
43340,13-3554,M/s. Moon CNG ,01.07.2003,"Masoom Shah Road, Multan",Multan,Multan,Multan,-,01.07.2003,-,Crude Petroleum & Gas,6,-,-,6,93000,5580,17214,-,37142,5580,-,-,-,280,-,Functional ,-,-,-,-,-
43341,28-3557,M/s. Chawala Book Center ,01.07.2003,Dera Adda Multan,Multan,Multan,Multan,-,01.07.2003,-,Whole Sale & Retail Trade,2,-,-,2,30000,1800,17423,-,37145,1800,-,-,146,-,39502,Functional ,-,-,-,-,-
43342,24-3565,M/s. Oxford Tailors ,01.07.2003,Abdali Road Multan,Multan,Multan,Multan,-,01.07.2003,-,Manufacture of Footware,5,-,-,5,-,-,-,4500,-,-,-,-,-,-,241580,Functional ,-,-,-,U/s 81,-
43343,83-3566,M/s. Hotel Royal Palms ,01.07.2003,"LMQ Road, Multan",Multan,Multan,Multan,-,01.07.2003,-,Recreation Services,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152065,Non-Functional,-,-,-,-,-
43344,20-3577,M/s. Maqbool Flour Mills,01.07.2003,"Masoom Shah Road, Multan",Multan,Multan,Multan,616562787,01.07.2003,Maqsood Elahi,Food Manufacture ,5,-,-,5,75000,4500,18379,-,-,-,-,-,-,-,144,Functional ,-,-,-,-,-
43345,24-3586,M/s. Al-Sana Garments ,01.07.2003,Sharif Plaza Multan,Multan,Multan,Multan,3009638818,01.07.2003,Abu Bakkar,Whole Sale & Retail Trade,5,-,-,5,75000,4500,17398,-,-,-,-,-,-,-,-,Functional ,-,-,-,-,-
43346,82-3587,M/s. Kids Camp ,01.07.2003,Sharif Plaza Multan,Multan,Multan,Multan,-,01.07.2003,-,Whole Sale & Retail Trade,1,-,-,1,-,-,-,900,-,-,-,-,-,-,163560,Functional ,-,-,U/s 66,-,-
43347,24-3588,M/s. Awami Zari House ,01.07.2003,Hussainagahi Multan,Multan,Multan,Multan,-,01.07.2003,-,Whole Sale & Retail Trade,3,-,-,3,-,-,-,2700,-,-,-,-,-,-,291960,Functional ,-,-,U/s 66,-,-
43348,24-3589,M/s. Saleem Power Looms ,01.07.2003,"Karim Plaza Hafiz Jamal Road, Multan",Multan,Multan,Multan,-,01.07.2003,-,Manufacture of Textile,3,-,-,3,-,-,-,2700,-,-,-,-,-,-,312840,Functional ,-,-,-,-,-
43349,24-3590,M/s. Kashish Garments ,01.07.2003,Sharif Plaza Multan,Multan,Multan,Multan,-,01.07.2003,-,Whole Sale & Retail Trade,2,-,-,2,-,-,-,1800,37158-59,3480,-,-,1720,20,173610,Functional ,-,-,-,-,-
43350,24-3591,M/s. Al-Harm Dying ,01.07.2003,"TB Hospital Road, Multan",Multan,Multan,Multan,-,01.07.2003,-,Manufacture of Textile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219900,Non-Functional,-,-,-,-,-
43351,23-3592,M/s. Tahir Power Looms ,01.07.2003,"TB Hospital Road, Multan",Multan,Multan,Multan,-,01.07.2003,-,Manufacture of Textile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210360,Non-Functional,-,-,-,-,-
43352,23-3594,M/s. Bari Power Looms,01.07.2003,"TB Hospital Road, Multan",Multan,Multan,Multan,3059630483,01.07.2003,Abdul Bari,Manufacture of Textile,3,-,-,3,-,-,-,2780,-,-,-,-,-,-,91676,Functional ,-,-,-,-,-
43353,28-3597,M/s. Sajjid  Tayyba Printing Press ,01.07.2003,"Civil Hospital Road, Multan",Multan,Multan,Multan,-,01.07.2003,-,Printing / Publishing,10,-,-,10,141667,8500,18129,-,-,-,-,-,-,-,234,Functional ,-,-,-,-,-
43354,83-3602,M/s. Comfort Inn ,01.07.2003,Nawan Sheher Multan,Multan,Multan,Multan,-,01.07.2003,-,Recreation Services,-,-,-,-,-,-,-,-,-,-,-,-,-,-,224820,Non-Functional,-,-,-,-,-
43355,61-3653,M/s. Good Well ,01.07.2003,"Masoom Shah Road, Multan",Multan,Multan,Multan,-,01.07.2003,-,Whole Sale & Retail Trade,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54600,Non-Functional,-,-,-,-,-
43356,35-3654,M/s. Chohan Tin Factory ,01.12.2008,"Nishat Road, Multan",Multan,Multan,Multan,-,01.12.2008,-,Miscellaneos Industries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81460,Non-Functional,-,-,-,-,-
43357,61-3656,M/s. Tariq Electronics ,01.07.2003,Hussainagahi Multan,Multan,Multan,Multan,-,01.07.2003,-,Whole Sale & Retail Trade,2,-,-,2,-,-,-,1800,-,-,-,-,-,-,212760,Functional ,-,-,-,-,-
43358,61-3664,M/s. Mushallah Electronic ,01.07.2003,Hussainagahi Multan,Multan,Multan,Multan,-,01.07.2003,Mian Javed,Whole Sale & Retail Trade,5,-,-,5,75000,4500,18352,-,-,-,-,-,-,-,-,Functional ,-,-,-,-,-
43359,31-3665,M/s. Pakistan PVC Pipe,01.07.2003,"Railway Road, Multan",Multan,Multan,Multan,-,01.07.2003,-,Manuf. Of Rubber Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69900,Non-Functional,-,-,-,-,-
43360,36-3666,M/s. Automotive Workshop ,01.07.2003,Jalilabad Multan,Multan,Multan,Multan,3216303083,01.07.2003,Shahzad,Manufacture of Machinery,3,-,-,3,-,-,-,2700,-,-,-,-,-,-,6706,Functional ,-,-,-,-,-
43361,24-3681,Siraj Tailor ,01.07.2003,Abdali Road Multan,Multan,Multan,Multan,3224570570,01.07.2003,Abdul Sattar,Manufacture of Footware,2,-,-,2,30000,1800,18738,-,-,-,-,-,-,-,-,Functional ,-,-,-,-,-
43362,61-3696,Pir Sons Pharma ,01.07.2003,Chowk Kumharanwala Multan,Multan,Multan,Multan,3009637201,01.07.2003,Azmat,Whole Sale & Retail Trade,4,-,-,4,60000,3600,18274,-,-,-,-,-,-,-,137340,Functional ,-,-,-,-,-
43363,20-3685,Salman Flour Mill ,01.07.2003,"TB Hospital Road, Multan",Multan,Multan,Multan,-,01.07.2003,Bilal,Food Manufacture ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103595,Functional ,-,-,-,-,-
43364,83-3686,Festa Inn Hotel & Restauratn ,01.07.2003,Nawan Sheher Multan,Multan,Multan,Multan,-,01.07.2003,Mian Aizaz,Recreation Services,10,-,-,10,150000,9000,18477,-,-,-,-,-,-,-,26600,Functional ,-,-,-,-,-
43365,13-3732,Chanab CNG ,01.07.2003,"Masoom Shah Road, Multan",Multan,Multan,Multan,3006356779,01.07.2003,Haji Shakoor,Crude Petroleum & Gas,5,-,-,5,-,-,-,4500,-,-,-,-,-,-,191620,Functional ,-,-,-,-,-
43366,90-3687,Ismailia Ice Factory ,01.07.2003,"Orangzaib Road, Multan",Multan,Multan,Multan,-,01.07.2003,Junaid,Miscellaneos Industries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42650,Non-Functional,-,-,-,-,-
43367,82-3688,Yousaf Medical Center ,01.07.2003,"Nishter Road, Multan",Multan,Multan,Multan,-,01.07.2003,-,Community & Business,4,-,-,4,60000,3600,18165,-,37521,4500,-,-,-,500,3060,Functional ,-,-,-,-,-
43368,83-3689,Hotel Shalmar ,01.07.2003,Dera Adda Multan,Multan,Multan,Multan,-,01.07.2003,-,Recreation Services,3,-,-,3,-,-,-,2700,-,-,-,-,-,-,194965,Functional ,-,-,-,-,-
43369,20-3691,Amir Brothers Production ,01.07.2003,"TB Hospital Road, Multan",Multan,Multan,Multan,-,01.07.2003,-,Food Manufacture ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,174900,Non-Functional,-,-,-,-,-
43370,83-3692,Bhatti Fish & Tikka Shop ,01.02.2009,Khoni Burge Multan,Multan,Multan,Multan,-,01.02.2009,-,Recreation Services,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8280,Non-Functional,-,-,-,-,-
43371,13-3694,Gas & Go Sell Pump ,24.02.2009,"Eid Gah Road, Multan",Multan,Multan,Multan,-,24.02.2009,Jamil,Crude Petroleum & Gas,4,-,-,4,-,-,-,3600,-,-,-,-,-,-,170040,Functional ,-,-,-,-,-
43372,23-3733,Abdullah Dying ,14.03.1999,"TB Hospital Road, Multan",Multan,Multan,Multan,-,14.03.1999,-,Manufacture of Textile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168436,Non-Functional,-,-,-,-,-
43373,83-2139-A,Stylo Shoes ,01.07.2009,Hussainagahi Multan,Multan,Multan,Multan,3068632902,01.07.2009,Shabbir Ahmed,Whole Sale & Retail Trade,11,-,-,11,165000,9900,18729,-,37465,9900,-,-,743,-,743,Functional ,-,-,-,-,-
43374,23-3855,M/s. RTM ,29.08.2009,"TB Hospital Road, Multan",Multan,Multan,Multan,-,29.08.2009,Safdar Hussain,Manufacture of Textile,5,-,-,5,75000,4500,17173,-,37414,4500,-,-,-,500,-,Functional ,-,-,-,-,-
43375,90-3856,Rehman Packages ,29.08.2009,"Masoom Shah Road, Multan",Multan,Multan,Multan,-,29.08.2009,M. Rafique,Paper & Paper Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,216940,Non-Functional,-,-,-,-,-
43376,83-3859,Gulistan Cattering ,29.08.2009,"Masoom Shah Road, Multan",Multan,Multan,Multan,-,29.08.2009,-,Recreation Services,2,-,-,2,-,-,-,-,1800,-,-,-,-,-,238506,Functional ,-,-,-,-,-
43377,37-3860,Ufone frenchise ,29.08.2009,"Katchery Road, Multan",Multan,Multan,Multan,-,29.08.2009,-,Communication,5,-,-,5,-,-,-,-,-,-,-,-,-,-,372600,Functional ,-,-,-,-,-
43378,13-3862,Noor CNG ,29.08.2009,"Masoom Shah Road, Multan",Multan,Multan,Multan,-,29.08.2009,-,Crude Petroleum & Gas,5,-,-,5,75000,4500,18400,-,37603,4500,-,-,653,-,55176,Functional ,-,-,-,-,-
43379,61-3863,Gulistan Property Dealer ,29.08.2009,"Masoom Shah Road, Multan",Multan,Multan,Multan,-,29.08.2009,-,Miscellaneos Industries,5,-,-,5,-,-,-,4500,-,-,-,-,-,-,364800,Functional ,-,-,-,-,-
43380,37-3864,Five Star Plus ,29.08.2009,Babar Markeet Multan,Multan,Multan,Multan,-,29.08.2009,-,Whole Sale & Retail Trade,2,-,-,2,-,-,-,1800,-,-,-,-,-,-,259280,Functional ,-,-,-,-,-
43381,28-3865,I A Printer ,29.08.2009,"Civil Hospital Road, Multan",Multan,Multan,Multan,-,29.08.2009,-,Printing / Publishing,7,-,-,7,105000,6300,18164,-,37520,-,-,-,39,150,39,Functional ,-,-,-,-,-
43382,23-3867,M/s. Adeel Cloth,29.08.2009,"Hafiz Jamal Road, Multan",Multan,Multan,Multan,3018635706,29.08.2009,Malik Shakeel,Manufacture of Textile,30,-,-,30,465000,27900,17422,-,-,-,-,-,-,-,-,Functional ,-,-,-,-,-
43383,71-3868,D C S Courier ,29.08.2009,Qadeer Abad Multan,Multan,Multan,Multan,-,29.08.2009,-,Communication,5,-,-,5,-,-,-,4500,-,-,-,-,-,-,300600,Functional ,-,-,-,-,-
43384,90-3869,M/s. Mehr packages ,29.08.2009,"Hamayon Road, Multan",Multan,Multan,Multan,3008638303,29.08.2009,Nadeem,Paper & Paper Products,20,-,-,20,327233,19634,18438,-,-,-,-,-,-,-,-,Functional ,-,-,-,-,-
43385,13-3875,A Hameed Sons CNG ,07.10.2009,"Eid Gah Road, Multan",Multan,Multan,Multan,-,07.10.2009,-,Crude Petroleum & Gas,4,-,-,4,60000,3600,18308,-,-,-,-,-,-,-,26271,Functional ,-,-,-,-,-
43386,20-3876,Babu Flour Mills,07.10.2009,"Shahshamas Road, Multan",Multan,Multan,Multan,-,07.10.2009,-,Food Manufacture ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,190800,Non-Functional,-,-,-,-,-
43387,61-3911,M/s. Rubi Electric Store,31.12.2009,Bohargate Multan,Multan,Multan,Multan,3009638782,31.12.2009,Ch. Naeem,Whole Sale & Retail Trade,4,-,-,4,-,-,-,3600,-,-,-,-,-,-,162934,Functional ,-,-,-,-,-
43388,83-3935,Ali Chiken Broast ,08.02.2010,Hassan Pervana Colony Multan,Multan,Multan,Multan,-,08.02.2010,-,Recreation Services,5,-,-,5,75000,4500,16853,-,-,-,-,-,-,-,2740,Functional ,-,-,-,-,-
43389,83-3864,M/s. New Ali Chicken Broast,07.05.2013,"Railway Road, Multan",Multan,Multan,Multan,-,07.05.2013,-,Recreation Services,5,-,-,5,75000,4500,16854,-,-,-,-,-,-,-,1338,Functional ,-,-,-,-,-
43390,83-3937,Liaqat tasty Karai zaika center ,08.02.2010,Dolat Gate Multan,Multan,Multan,Multan,3006346936,08.02.2010,Liaqat Ali,Recreation Services,1,-,-,1,-,-,-,900,-,-,-,-,-,-,85648,Functional ,-,-,-,-,-
43391,83-3940,Sheedan Mushtaq Fish & Broast ,01.01.2010,Kotla Tolay Khan Multan,Multan,Multan,Multan,3067437771,01.01.2010,Babar Mushtaq,Recreation Services,10,-,-,10,-,-,-,9000,-,-,-,-,-,-,438750,Functional ,-,-,-,-,-
43392,83-3941,Al Badar Champ House ,08.02.2010,Arts Council Multan,Multan,Multan,Multan,-,08.02.2010,-,Recreation Services,2,-,-,2,-,-,-,1800,-,-,-,-,-,-,184260,Functional ,-,-,-,-,-
43393,61-3942,Roshini Distribution ,08.02.2010,Bohargate Multan,Multan,Multan,Multan,-,08.02.2010,-,Whole Sale & Retail Trade,2,-,-,2,30000,1800,18608,-,37605-6,3360,-,-,-,4840,44520,Functional ,-,-,-,-,-
43394,23-3964,M/s. Shakeel Textile ,05.04.2010,Sharifpura Multan,Multan,Multan,Multan,3006339580,05.04.2010,Ch. Asghar,Manufacture of Textile,15,-,-,15,225000,13500,18329,-,-,-,-,-,-,-,-,Functional ,-,-,-,-,-
43395,83-3995,Abdali Hotel ,01.05.2010,Ghanta Ghar Multan,Multan,Multan,Multan,-,01.05.2010,-,Recreation Services,2,-,-,2,-,-,-,1800,-,-,-,-,-,-,139860,Functional ,-,-,-,-,-
43396,61-3996,Multan Kitaab Ghar ,01.05.2010,Ghanta Ghar Multan,Multan,Multan,Multan,3145124002,01.05.2010,Sh. Javed,Whole Sale & Retail Trade,5,-,-,5,77083,4625,18003,-,-,-,-,-,-,-,3900,Functional ,-,-,-,-,-
43397,61-3997,Haroon Carton ,01.05.2010,"Civil Hospital Road, Multan",Multan,Multan,Multan,-,01.05.2010,-,Whole Sale & Retail Trade,3,-,-,3,-,-,-,2700,-,-,-,-,-,-,113040,Functional ,-,-,-,-,-
43398,20-3998,Sadiq Bakers ,01.05.2010,"Masoom Shah Road, Multan",Multan,Multan,Multan,-,01.05.2010,-,Food Manufacture ,1,-,-,1,-,-,-,900,-,-,-,-,-,-,134820,Functional ,-,-,-,-,-
43399,82-4000,British Home School ,01.05.2010,Bohargate Multan,Multan,Multan,Multan,-,01.05.2010,-,Community & Business,5,-,-,5,-,-,-,4500,-,-,-,-,-,-,296300,Functional ,-,-,-,-,-
43400,61-4002,China Centre ,01.05.2010,Chowk Sheedan Multan,Multan,Multan,Multan,-,01.05.2010,-,Whole Sale & Retail Trade,5,-,-,5,-,-,-,4500,-,-,-,-,-,-,289200,Functional ,-,-,-,-,Civl Court
43401,82-4058,Ali Aziz Scholar School ,01.05.2010,Hassan Pervana Colony Multan,Multan,Multan,Multan,-,01.05.2010,-,Community & Business,2,-,-,2,-,-,-,1800,-,-,-,-,-,-,13660,Functional ,-,-,-,-,-
43402,61-4071,Honda Palace ,01.05.2010,Trust Plaza Multan,Multan,Multan,Multan,-,01.05.2010,-,Whole Sale & Retail Trade,7,-,-,7,105000,6300,18160,-,-,-,-,-,-,-,-,Functional ,-,-,-,-,-
43403,61-4132,K K Mart ,01.05.2010,Hussainagahi Multan,Multan,Multan,Multan,3007349050,01.05.2010,Abdul Khaliq,Whole Sale & Retail Trade,20,-,-,20,310000,18600,18215,-,-,-,-,-,-,-,-,Functional ,-,-,-,-,-
43404,23-4544,Usman Talha Fabrics ,01.05.2010,Outside Harram Gate Multan,Multan,Multan,Multan,-,01.05.2010,-,Manufacture of Textile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240060,Non-Functional,-,-,-,-,-
43405,82-4558,Multi Care Comples ,01.05.2010,"Nishter Road, Multan",Multan,Multan,Multan,,01.05.2010,Dr. Massood,Community & Business,3,-,-,3,-,-,-,2700,-,-,-,-,-,-,5455,Functional ,-,-,-,-,-
43406,82-4560,Multan MRI Center ,01.05.2010,"Nishter Road, Multan",Multan,Multan,Multan,614588674,01.05.2010,Raheel,Community & Business,15,-,-,15,225000,13500,17815,-,-,-,-,-,-,-,-,Functional ,-,-,-,-,-
43407,82-4561,Agha Khan Sample Collection Center ,01.05.2010,"Nishter Road, Multan",Multan,Multan,Multan,-,01.05.2010,-,Community & Business,5,-,-,5,-,-,-,4500,-,-,-,-,-,-,338700,Functional ,U/s 57,-,-,-,-
